6/24/2016,1466726400,14.25
6/25/2016,1466812800,14.30
6/26/2016,1466899200,13.74
6/27/2016,1466985600,13.95
6/28/2016,1467072000,12.04
6/29/2016,1467158400,12.89
6/30/2016,1467244800,12.44
7/1/2016,1467331200,12.29
7/2/2016,1467417600,12.08
7/3/2016,1467504000,11.87
7/4/2016,1467590400,11.38
7/5/2016,1467676800,10.36
7/6/2016,1467763200,10.50
7/7/2016,1467849600,10.03
7/8/2016,1467936000,11.23
7/9/2016,1468022400,10.91
7/10/2016,1468108800,10.93
7/11/2016,1468195200,10.55
7/12/2016,1468281600,10.54
7/13/2016,1468368000,10.46
7/14/2016,1468454400,11.51
7/15/2016,1468540800,11.98
7/16/2016,1468627200,11.67
7/17/2016,1468713600,11.24
7/18/2016,1468800000,11.03
7/19/2016,1468886400,11.71
7/20/2016,1468972800,12.52
7/21/2016,1469059200,12.60
7/22/2016,1469145600,14.79
7/23/2016,1469232000,14.31
7/24/2016,1469318400,12.66
7/25/2016,1469404800,13.78
7/26/2016,1469491200,12.09
7/27/2016,1469577600,13.07
7/28/2016,1469664000,12.86
7/29/2016,1469750400,12.87
7/30/2016,1469836800,12.52
7/31/2016,1469923200,11.89
8/1/2016,1470009600,11.08
8/2/2016,1470096000,8.30
8/3/2016,1470182400,10.38
8/4/2016,1470268800,11.21
8/5/2016,1470355200,11.04
8/6/2016,1470441600,10.94
8/7/2016,1470528000,10.99
8/8/2016,1470614400,11.29
8/9/2016,1470700800,12.25
8/10/2016,1470787200,12.19
8/11/2016,1470873600,11.66
8/12/2016,1470960000,11.74
8/13/2016,1471046400,11.56
8/14/2016,1471132800,11.18
8/15/2016,1471219200,11.15
8/16/2016,1471305600,11.14
8/17/2016,1471392000,10.75
8/18/2016,1471478400,10.73
8/19/2016,1471564800,10.71
8/20/2016,1471651200,11.27
8/21/2016,1471737600,11.14
8/22/2016,1471824000,11.09
8/23/2016,1471910400,11.00
8/24/2016,1471996800,11.00
8/25/2016,1472083200,11.36
8/26/2016,1472169600,11.26
8/27/2016,1472256000,11.19
8/28/2016,1472342400,10.97
8/29/2016,1472428800,10.95
8/30/2016,1472515200,11.23
8/31/2016,1472601600,11.59
9/1/2016,1472688000,12.21
9/2/2016,1472774400,12.09
9/3/2016,1472860800,11.91
9/4/2016,1472947200,11.72
9/5/2016,1473033600,11.80
9/6/2016,1473120000,11.72
9/7/2016,1473206400,11.60
9/8/2016,1473292800,11.41
9/9/2016,1473379200,11.70
9/10/2016,1473465600,12.08
9/11/2016,1473552000,11.65
9/12/2016,1473638400,11.93
9/13/2016,1473724800,11.98
9/14/2016,1473811200,11.93
9/15/2016,1473897600,11.99
9/16/2016,1473984000,12.64
9/17/2016,1474070400,12.82
9/18/2016,1474156800,12.33
9/19/2016,1474243200,12.92
9/20/2016,1474329600,14.62
9/21/2016,1474416000,13.73
9/22/2016,1474502400,13.13
9/23/2016,1474588800,13.35
9/24/2016,1474675200,12.90
9/25/2016,1474761600,13.05
9/26/2016,1474848000,12.93
9/27/2016,1474934400,13.08
9/28/2016,1475020800,13.30
9/29/2016,1475107200,13.14
9/30/2016,1475193600,13.26
10/1/2016,1475280000,13.23
10/2/2016,1475366400,13.22
10/3/2016,1475452800,13.45
10/4/2016,1475539200,13.31
10/5/2016,1475625600,13.09
10/6/2016,1475712000,12.86
10/7/2016,1475798400,12.68
10/8/2016,1475884800,12.25
10/9/2016,1475971200,12.05
10/10/2016,1476057600,11.74
10/11/2016,1476144000,11.76
10/12/2016,1476230400,11.74
10/13/2016,1476316800,12.03
10/14/2016,1476403200,11.90
10/15/2016,1476489600,11.97
10/16/2016,1476576000,11.94
10/17/2016,1476662400,11.98
10/18/2016,1476748800,12.52
10/19/2016,1476835200,11.98
10/20/2016,1476921600,12.06
10/21/2016,1477008000,12.07
10/22/2016,1477094400,12.10
10/23/2016,1477180800,11.98
10/24/2016,1477267200,11.94
10/25/2016,1477353600,11.37
10/26/2016,1477440000,11.50
10/27/2016,1477526400,11.47
10/28/2016,1477612800,11.11
10/29/2016,1477699200,10.38
10/30/2016,1477785600,11.24
10/31/2016,1477872000,10.93
11/1/2016,1477958400,10.77
11/2/2016,1478044800,10.83
11/3/2016,1478131200,10.86
11/4/2016,1478217600,11.15
11/5/2016,1478304000,11.13
11/6/2016,1478390400,10.96
11/7/2016,1478476800,10.90
11/8/2016,1478563200,10.87
11/9/2016,1478649600,10.66
11/10/2016,1478736000,10.52
11/11/2016,1478822400,10.29
11/12/2016,1478908800,9.98
11/13/2016,1478995200,10.12
11/14/2016,1479081600,10.00
11/15/2016,1479168000,10.23
11/16/2016,1479254400,10.01
11/17/2016,1479340800,9.96
11/18/2016,1479427200,9.53
11/19/2016,1479513600,9.68
11/20/2016,1479600000,9.58
11/21/2016,1479686400,9.56
11/22/2016,1479772800,9.83
11/23/2016,1479859200,9.75
11/24/2016,1479945600,9.20
11/25/2016,1480032000,9.41
11/26/2016,1480118400,9.32
11/27/2016,1480204800,8.87
11/28/2016,1480291200,8.68
11/29/2016,1480377600,8.18
11/30/2016,1480464000,8.60
12/1/2016,1480550400,8.46
12/2/2016,1480636800,7.71
12/3/2016,1480723200,7.89
12/4/2016,1480809600,7.54
12/5/2016,1480896000,6.67
12/6/2016,1480982400,7.71
12/7/2016,1481068800,8.35
12/8/2016,1481155200,8.30
12/9/2016,1481241600,8.50
12/10/2016,1481328000,8.09
12/11/2016,1481414400,8.20
12/12/2016,1481500800,8.45
12/13/2016,1481587200,8.41
12/14/2016,1481673600,8.22
12/15/2016,1481760000,7.77
12/16/2016,1481846400,7.87
12/17/2016,1481932800,7.67
12/18/2016,1482019200,7.88
12/19/2016,1482105600,7.61
12/20/2016,1482192000,7.59
12/21/2016,1482278400,7.87
12/22/2016,1482364800,7.65
12/23/2016,1482451200,7.15
12/24/2016,1482537600,7.23
12/25/2016,1482624000,7.19
12/26/2016,1482710400,7.24
12/27/2016,1482796800,7.15
12/28/2016,1482883200,7.63
