Date,"Close Price"
"2016-01-02 00:40:00",0.94
"2016-01-09 00:40:00",0.99
"2016-01-16 00:40:00",1.12
"2016-01-23 00:40:00",1.49
"2016-01-30 00:40:00",2.58
"2016-02-06 00:40:00",2.53
"2016-02-13 00:40:00",5.48
"2016-02-20 00:40:00",4.66
"2016-02-27 00:40:00",5.93
"2016-03-05 00:40:00",9.8
"2016-03-12 00:40:00",11.17
"2016-03-19 00:40:00",10.76
"2016-03-26 00:40:00",11.04
"2016-04-02 00:40:00",11.51
"2016-04-09 00:40:00",9.68
"2016-04-16 00:40:00",8.22
"2016-04-23 00:40:00",7.78
"2016-04-30 00:40:00",7.51
"2016-05-07 00:40:00",9.36
"2016-05-14 00:40:00",10.49
"2016-05-21 00:40:00",13.17
"2016-05-28 00:40:00",10.82
"2016-06-04 00:40:00",13.63
"2016-06-11 00:40:00",13.9
"2016-06-18 00:40:00",14.96
"2016-06-25 00:40:00",14.25
"2016-07-02 00:40:00",12.07
"2016-07-09 00:40:00",11.4
"2016-07-16 00:40:00",11.91
"2016-07-23 00:40:00",14.48
"2016-07-30 00:40:00",12.8
"2016-08-06 00:40:00",10.8
"2016-08-13 00:40:00",11.8
"2016-08-20 00:40:00",10.77
"2016-08-27 00:40:00",11.24
"2016-09-03 00:40:00",12.2
"2016-09-10 00:40:00",11.75
"2016-09-17 00:40:00",12.54
"2016-09-24 00:40:00",13.35
"2016-10-01 00:40:00",13.25
"2016-10-08 00:40:00",12.68
"2016-10-15 00:40:00",11.75
"2016-10-22 00:40:00",11.75
"2016-10-29 00:40:00",11.13
"2016-11-05 00:40:00",11.18
"2016-11-12 00:40:00",10.2
"2016-11-19 00:40:00",9.48
"2016-11-26 00:40:00",9.45
"2016-12-03 00:40:00",7.9
"2016-12-10 00:40:00",8.36
"2016-12-17 00:40:00",7.83
"2016-12-24 00:40:00",7.15
"2016-12-31 00:40:00",8.13
"2017-01-07 00:40:00",10.11
"2017-01-14 00:40:00",9.65
"2017-01-21 00:40:00",10.62
"2017-01-28 00:40:00",10.5
"2017-02-04 00:40:00",11.12
"2017-02-11 00:40:00",11.29
"2017-02-18 00:40:00",12.75
"2017-02-25 00:40:00",13.06
"2017-03-04 00:40:00",19.57
"2017-03-11 00:40:00",19.05
"2017-03-18 00:40:00",42.26
"2017-03-25 00:40:00",51.28
"2017-04-01 00:40:00",49.68
"2017-04-08 00:40:00",44.69
"2017-04-15 00:40:00",48.56
"2017-04-22 00:40:00",51.35
"2017-04-29 00:40:00",76.48
"2017-05-06 00:40:00",92.78
"2017-05-12 08:54:22",92.78
"2017-05-15 20:54:22",91.87
"2017-05-19 08:54:23",112.7
"2017-05-22 20:54:26",178.9
"2017-05-26 09:05:00",184.09
"2017-05-29 21:05:00",185.95
"2017-06-02 09:05:00",210.9
"2017-06-05 21:05:00",243.22
"2017-06-09 09:25:00",263.64
"2017-06-12 21:25:00",364.38
"2017-06-16 09:25:00",342.22
"2017-06-19 21:25:00",356.24
"2017-06-23 11:50:00",328.85
"2017-06-30 11:50:00",300.76
"2017-07-07 11:50:00",247.95
"2017-07-14 11:50:00",199.92
"2017-07-19 11:39:06",237.03
"2017-07-22 23:39:07",230.72
"2017-07-26 11:50:00",205.4
"2017-07-30 00:05:00",209.39
"2017-08-02 12:29:23",221.61
"2017-08-06 00:34:16",257.12
"2017-08-09 23:50:00",295.45
"2017-08-13 11:50:00",289.11
"2017-08-17 19:00:00",297.91
"2017-08-21 07:50:00",300.26
"2017-08-25 01:55:02",327.11
"2017-08-28 21:25:02",343.95
"2017-09-01 15:40:03",391.33
"2017-09-05 10:55:03",295.2
"2017-09-11 12:30:02",289.75

"This data was produced from the CoinDesk price page."
http://www.coindesk.com/price/
